Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
309508,Ron Pope,Texas Wildflower Honey,7wKx3Vih8FI8jvODQvttgy,30,2018,acoustic,0.64,0.365,7,-8.417,1,0.0349,0.296,0.000118,0.114,0.227,122.131,301364,3
1377382,Greg Maroney,Wheatfields,1LZhHDuzr2PzYAyNZMxSlJ,7,2010,new-age,0.301,0.0928,4,-21.278,1,0.0345,0.975,0.893,0.106,0.123,137.801,213013,4
627649,Leslie Cheung,最冷一天,474wEh8c7SRnIRdYif6LrA,25,2000,cantopop,0.37,0.235,2,-15.111,0,0.0386,0.851,0.00017,0.093,0.16,169.894,254427,4
1032254,Raspberries,Nobody Knows - Remastered,7vrnrlgH1dkxLmUHxwJo3D,3,2005,power-pop,0.594,0.878,7,-5.908,1,0.0385,0.467,3.85e-06,0.195,0.834,123.543,142000,4
501634,ACTORS,End of the World,4CETq9LLk0LO8g8EDsg2Pi,14,2021,goth,0.618,0.851,11,-9.463,0,0.034,0.107,0.72,0.0798,0.963,140.01,230133,4
1373258,Hadouk Trio,Dididi,05lnEg0yyMi5ohYaHCuyGr,27,2010,jazz,0.738,0.207,10,-15.743,1,0.0786,0.966,0.77,0.11,0.832,143.023,204613,4
509507,Funker Vogt,Lost,1uTRUA3SER4BOLo26uJkVz,12,2021,industrial,0.563,0.858,5,-5.064,1,0.0547,0.0286,0.426,0.141,0.606,109.012,262471,4
636430,Rod Taylor,Fidelcastro Dub,5jsoi7oautBI3B3aaDdvh9,0,2000,dub,0.754,0.367,4,-16.674,1,0.0706,0.00589,0.882,0.0541,0.58,129.788,186933,4
4019,Goatwhore,My Name Is Frightful Among the Believers,6RZt1oMspkHLsJHPcfW0Mh,11,2012,black-metal,0.177,0.99,1,-4.739,1,0.242,6.38e-06,0.687,0.273,0.0714,180.372,251360,4
902664,Guided By Voices,Secret Star,5JKCrqu31AVcH6v09AlL4j,7,2003,power-pop,0.333,0.707,7,-8.039,1,0.0317,0.0624,0.0195,0.173,0.457,121.297,282773,4
194505,Anja Schneider,Circle Culture,1gxDaqVwtO7NYyDIY00H7d,11,2015,minimal-techno,0.783,0.699,1,-10.897,0,0.0319,0.0109,0.923,0.104,0.116,124.999,413431,4
354134,Imagine Dragons,Love,5d41vXH0zvpwUrHrmqKqDc,55,2018,rock,0.697,0.507,8,-6.178,1,0.04,0.0535,1.19e-06,0.0469,0.382,82.483,166360,4
139407,$uicideboy$,Purple Ranger - Sippin' Donatello with Captain Ginyu Y2k Remix,3GHLgXVHbAzOwUvw3ZU0Fu,39,2014,hip-hop,0.959,0.861,7,-4.002,1,0.141,0.183,0.0,0.101,0.739,108.968,268695,4
395429,Crypton,Saviour,0UchQwfV5KWWT17XTqOEnv,40,2019,hardcore,0.583,0.953,1,-2.307,1,0.0563,0.0206,1.2e-05,0.38,0.111,95.065,215405,4
1120958,Antibalas,War Hero,0uSKvWqbmmPP4zoUV7Hck1,7,2007,afrobeat,0.844,0.898,0,-6.96,1,0.0492,0.00383,0.623,0.113,0.955,114.072,326333,4
974448,Gilberto Gil,Cambalache - Ao vivo,2wy8DSC3aHt6seXABih2vG,5,2004,samba,0.782,0.83,0,-10.298,1,0.101,0.491,1.18e-06,0.946,0.904,121.079,292680,4
394727,The Standstills,Butcher,6I98UNrYVhBRsBmLWxJ0vV,18,2019,hard-rock,0.361,0.681,1,-7.16,0,0.0698,0.00229,3.95e-05,0.701,0.503,169.957,190081,4
1212131,Gregory and the Hawk,Doubtful,6bJetW2UxjLzCQiQkdeYc2,36,2008,folk,0.487,0.519,6,-9.86,1,0.0311,0.774,0.152,0.105,0.605,173.687,142573,4
1134536,The Shapeshifters,New Day - Erick E Dub Mix,0eQEhCXtce5s4xJxWdv3uI,0,2007,deep-house,0.793,0.671,9,-7.009,1,0.0622,0.00457,0.77,0.0628,0.558,128.009,451442,4
274960,Walkyria Santos,Teco Teco,5RUIBdSdkS46YF7jjCMWN0,0,2017,forro,0.665,0.612,11,-8.862,0,0.125,0.661,0.000136,0.186,0.852,175.911,165407,4
162144,Dele Sosimi,E Go Betta,4oYuAdRxIVLed4LxpLH4Bn,31,2015,afrobeat,0.881,0.779,7,-7.538,0,0.0552,0.0811,0.79,0.0684,0.783,110.029,369878,4
1141327,Josephine Collective,Lye,0q0wg5h7FT29HMvGGLqnSj,4,2007,emo,0.298,0.906,11,-3.773,1,0.0411,0.00581,0.0,0.057,0.584,197.902,176773,4
1125217,The Chemical Brothers,Burst Generator,7tTgw3jBXxCbzk5ieJ2GOd,27,2007,breakbeat,0.623,0.915,2,-6.663,1,0.0537,0.00249,0.848,0.114,0.515,117.011,412804,4
111330,Geotic,Handholding,05TDOWJeYRacumaDfbjFgY,11,2014,ambient,0.235,0.188,8,-16.317,1,0.0357,0.987,0.934,0.0837,0.219,78.616,226000,3
189770,Sabb,One of Us - Dennis Ferrer Remix,2Q2R8rbJ1WW3OmHrxEYJ17,37,2015,house,0.804,0.888,1,-9.153,1,0.0508,0.0002,0.836,0.064,0.703,122.004,411651,4
1082202,...And You Will Know Us by the Trail of Dead,Wasted State Of Mind,16XbElFPv3A7TrzRJntVYd,12,2006,hard-rock,0.462,0.806,3,-3.283,1,0.0341,0.26,0.0,0.114,0.354,165.925,325600,4
1287269,Government Warning,Nowhere To Go,0rvY98BRzejBSFggL1zum1,17,2009,garage,0.197,0.965,6,-3.149,0,0.0735,2.26e-06,0.0,0.347,0.0434,112.769,60640,4
559762,Rexor,From out the Ruins,73z5maW8Fnsh6N4FPfhwxq,0,2022,heavy-metal,0.539,0.0698,0,-4.32,0,0.0361,0.000279,0.000941,0.0876,0.962,135.989,285377,4
174310,Commodo,Unmistakable,5Q03VKsGIiWcdBPPjeBuhu,14,2015,dub,0.508,0.472,9,-10.355,1,0.0846,0.00174,0.907,0.308,0.219,101.348,211040,3
816564,Merzhin,Le petit manager,55PgrG9X7ki3ufVB9QSdKc,14,2002,french,0.455,0.934,2,-4.612,0,0.109,0.00365,0.000884,0.0814,0.717,169.553,238132,4
1028324,Giacomo Puccini,"Edgar - Opera in 3 Acts / Act 1: Questo amor, vergogna mia",2eiJNW33ed5haxZITNMKyc,12,2005,opera,0.271,0.123,5,-20.461,1,0.0441,0.973,0.231,0.0902,0.0705,80.403,210027,3
834876,Craig Urquhart,Berceuse,6DB4Xj5QDVWQZQvGp7ksjY,0,2002,new-age,0.39,0.00643,3,-32.539,1,0.0379,0.995,0.842,0.0915,0.0482,60.694,247827,4
442167,Fleet Foxes,Jara,6ttJq2kuufZBqkuowqMzhH,34,2020,folk,0.586,0.72,0,-9.12,1,0.0326,0.053,0.00316,0.146,0.404,119.927,249320,4
1433062,Simon Chimbetu,Rudo Rwechokwadi,1zqzBTdxJQNwkb0LnsZW9o,14,2011,groove,0.715,0.68,10,-6.627,1,0.041,0.434,0.000313,0.0825,0.966,130.425,261880,4
668526,Raimundos,Carrão de dois - Ao vivo,1OUvLUMFnQbLEeTydLfYO2,29,2000,punk-rock,0.287,0.96,7,-5.635,1,0.244,3e-05,2.17e-05,0.93,0.452,116.303,120000,4
350846,Kumar Sanu,"Kuchh Na Kaho (From ""1942 A Love Story"")",0fOuQmVrR2x7TYtinBYBwF,14,2018,pop-film,0.477,0.416,10,-12.45,1,0.041,0.415,2.51e-05,0.0899,0.443,140.357,366400,3
1056014,Impaled Nazarene,I Wage War,0NhHzIWyUDPMupVmdaRyld,4,2006,black-metal,0.325,0.981,10,-3.311,0,0.129,2.21e-06,0.863,0.223,0.439,109.525,131007,4
313127,Inferi,Thy Menacing Gaze,4PdjTx5oVlz6eNDH24MfGr,16,2018,black-metal,0.202,0.94,6,-5.879,1,0.148,0.000115,0.0872,0.345,0.0897,117.554,383112,1
1361364,Those Poor Bastards,Holy Book,7JoK36uhPUtgIfVSBsXX3i,0,2010,goth,0.502,0.923,9,-6.165,0,0.0686,0.788,0.0,0.217,0.116,107.162,87209,4
945432,Planlos,Sucht nach mehr,545N2tAgYLgRcacMiWt9aL,10,2004,german,0.486,0.895,9,-3.768,0,0.0821,0.00145,0.0,0.262,0.237,133.966,209031,4
1215028,Ice Cube,Jack N The Box,26DEEL3w84yIul5dT9Rq99,32,2008,funk,0.603,0.787,2,-5.431,1,0.24,0.0134,0.0,0.173,0.289,82.203,262664,4
635349,Secret Service,Bring Heaven Down,1bMsyCTllWZuKZs84mP6BU,9,2000,disco,0.661,0.967,7,-4.84,0,0.068,0.216,0.548,0.114,0.7,118.024,219693,4
1424911,Mumford & Sons,"Roll Away Your Stone - Live from Shepherd's Bush Empire, 2010",3jBGLveiapJwkD32VCyUgE,24,2011,folk,0.315,0.638,4,-11.568,1,0.131,0.193,1.79e-05,0.943,0.38,139.432,266173,4
297302,Pissed Jeans,Have You Ever Been Furniture,2EM3nWzCLhFWrZgzvayumh,14,2017,punk-rock,0.384,0.981,2,-4.219,1,0.218,3.91e-05,0.0166,0.0595,0.0704,153.061,158160,4
175975,Vigiland,Addicted,1MDCGqPlhsOAxTxpbkhUnR,43,2015,electronic,0.647,0.815,11,-4.616,0,0.039,0.0147,1.5e-06,0.132,0.445,127.942,210938,4
124864,Kai Wachi,Cadaverous - Original Mix,1xeBWVkbQL7jWkSR2WX92g,31,2014,dub,0.59,0.779,2,-8.445,1,0.0551,0.046,0.675,0.168,0.143,180.034,243332,4
1195511,Elite Force,Haiku - Dylan Rhymes Mix,78PhDhjZIqImToQEzFE6Hm,0,2008,breakbeat,0.931,0.513,11,-9.953,0,0.382,0.00166,0.819,0.0382,0.263,126.005,323987,4
263698,Bill Hicks,Go Back to Bed America,31k7y1BDMiW9eqVZSXkr6X,5,2017,comedy,0.362,0.97,6,-7.998,1,0.834,0.886,0.0,0.72,0.218,127.367,247257,3
807779,Visceral Bleeding,Remnants of Deprivation,7trkU0TuiHvEJHPu5148XP,1,2002,death-metal,0.377,0.979,11,-4.735,0,0.136,6.73e-05,0.668,0.157,0.389,120.223,179773,4
1154188,Kyoji Yamamoto,PHOTOGRAPH,72Y6f4bCeFUi3Mx0GGfkb8,0,2007,heavy-metal,0.602,0.796,9,-3.57,1,0.0967,0.0192,1.44e-05,0.0993,0.961,88.437,284427,4
1361825,Lividity,Lacerations of an Unclean Twat-5,1OqIMqYt4JKGomX1j8COhm,2,2010,grindcore,0.237,0.955,9,-6.374,1,0.103,0.00651,0.00259,0.715,0.165,166.989,130973,3
165255,Ninkharsag,Pastoralis Praeeminentiae,2da7vsnTuSYgOHVFOVKW2W,14,2015,black-metal,0.189,0.966,4,-4.608,1,0.0781,0.0,0.839,0.328,0.382,119.033,135920,4
619236,Alpha Vectoriam,Alpha Sinus Beauty 88Hz - 96Hz,2Q1tvcxY1AURUd0Qh6707l,38,2023,sleep,0.152,0.0704,10,-32.754,0,0.0509,0.919,0.953,0.105,0.0326,136.316,151250,4
51286,Café Quijano,Como siempre,0NIAtVypdL5OJ5Xb3hGuuW,41,2012,spanish,0.839,0.563,6,-5.676,0,0.0401,0.738,0.0,0.212,0.694,99.976,191797,4
1260030,Nicola Conte,Song for the Seasons,1y5GTneweMBrTRqmGK7Oyd,10,2008,trip-hop,0.284,0.662,1,-7.65,1,0.0564,0.721,0.000565,0.168,0.457,68.586,212573,4
244524,Future,Lie to Me,4O0qHBvIV8yHOcPkGJUUIZ,41,2016,hip-hop,0.695,0.722,8,-4.013,0,0.0476,0.0483,0.0,0.323,0.238,119.985,212920,4
510155,Louk,Seeing You Is Like,1n8uC6Uj5fjmOKYMfQqfEU,40,2021,jazz,0.688,0.188,2,-16.805,0,0.0886,0.846,0.807,0.067,0.388,82.099,149451,4
240066,Katalepsy,Monastary of Nothing,5wG3KetOEIkD1ksqWin4EK,7,2016,groove,0.325,0.996,1,-3.225,1,0.21,2.98e-05,0.846,0.224,0.0754,120.012,254427,4
1004612,Cartel,The Minstrel's Prayer,7pTOkHWYuoaxE1FLtqB8Hh,30,2005,emo,0.512,0.576,1,-7.741,1,0.0983,0.286,0.0,0.13,0.509,136.205,278373,4
1081487,Abel Carlevaro,Máximo Pujol: Preludio Rockero,3cLeyHGsdkJJd31pWiiE4A,0,2006,guitar,0.455,0.0675,2,-19.557,1,0.0884,0.989,0.934,0.0897,0.168,115.538,204667,5
256041,Illuminine,"Dear, Dolores",2MACQQfALqSVaoGAEfmCcD,34,2017,ambient,0.613,0.0295,4,-19.171,1,0.0343,0.972,0.913,0.0973,0.121,99.902,230160,3
341614,Plies,Rock,0QVISdPWRllAmoDBG3DEHU,46,2018,hip-hop,0.852,0.691,6,-5.175,0,0.139,0.0375,0.0,0.0517,0.658,61.115,174653,4
104030,Traditional,Rainy Gamelan Dream – Only Feldman could tell,2OdtLFYlduIIEWMYKujiXi,0,2013,sleep,0.23,0.0995,1,-37.673,1,0.0472,0.00795,0.00043,0.157,0.354,130.219,339000,3
229857,Champagne Drip,Bubble Reef,5gWBZkqodsDALaqArRsQH7,20,2016,dub,0.6,0.722,9,-5.053,0,0.0338,0.0269,0.00436,0.57,0.2,140.066,256744,4
630984,Collin Raye,Counting Sheep,2w4G4hNdjyNG4mn9ivpDyh,15,2000,country,0.809,0.291,0,-12.855,0,0.0352,0.712,0.0,0.28,0.405,116.968,177667,4
982346,Janne Schaffer,Jag vill ha en egen måne,7bXfHoEdg1jR9ie6FvE7ef,22,2004,swedish,0.249,0.413,5,-17.082,1,0.0473,0.864,0.861,0.738,0.149,77.266,202320,4
43068,Donovan,Epistle To Dippy - Single Version,4Ak7D3KWXw9hQ6e0yASBM5,14,2012,psych-rock,0.649,0.556,0,-10.124,1,0.0516,0.217,0.0,0.0954,0.871,148.048,188800,4
1198651,Frédéric Chopin,Piano Sonata No.2 In B Flat Minor Op.35 - Funeral March,0hYL5aYswVg4Dc5lKoYREc,17,2008,classical,0.593,0.0269,11,-25.513,0,0.0706,0.978,0.837,0.103,0.252,43.149,143693,3
486596,Eddie Izzard,Cats and Dogs,04jrgTClcIebKlGTuMKjxN,5,2021,comedy,0.456,0.538,1,-20.115,1,0.944,0.871,0.0,0.869,0.252,96.771,438880,3
1249249,Victor & Leo,Nada - Fada,4voAJjiTZzA7xf1LWLWpkF,18,2008,sertanejo,0.65,0.757,9,-7.174,1,0.0285,0.37,0.0,0.102,0.561,135.946,202733,4
568626,Jøsefine,Numéro 1,4Q4LaLRedI0F02XS2lsYkP,45,2022,piano,0.413,0.0734,5,-26.001,1,0.0311,0.992,0.947,0.093,0.366,131.462,154625,4
672989,Bruno & Marrone,Pago calado,0HtQY0fpo1rPjpKate9Buy,7,2000,sertanejo,0.506,0.456,5,-7.423,1,0.0298,0.73,0.0,0.0875,0.336,80.005,306747,4
13785,Wizboyy,Safe Journey,1grQI9OBaUCQ6JR4h4SIlm,7,2012,dancehall,0.903,0.912,5,-1.01,1,0.0629,0.066,0.00197,0.0308,0.923,127.042,217333,4
29159,Kawika Kahiapo,What Child Is This? (Ke Keiki Ali'),2f43YU829VSlVsJysa0d8Q,3,2012,guitar,0.299,0.427,4,-10.804,0,0.0317,0.846,2.1e-05,0.116,0.239,84.013,197400,4
135873,Joaquín Rodrigo,Concierto de Aranjuez: I. Allegro Con Spirito,2QNYiOb5dNUK0eEMrXWGGd,11,2014,guitar,0.551,0.322,2,-13.086,1,0.0345,0.949,0.876,0.171,0.514,123.701,355481,3
15313,Mr. G,Lex (Flip Flopping),2IF6gcr1MkuwfCRVwwEfiF,11,2012,deep-house,0.721,0.931,5,-7.364,0,0.0667,0.0124,0.864,0.136,0.0754,125.975,547784,4
123059,Dopplereffekt,Infophysix,1Q61AT82IFsSWpZGTS1Xlv,20,2014,detroit-techno,0.801,0.84,0,-10.78,0,0.0864,0.134,0.872,0.106,0.961,119.533,229861,4
508048,Poloboy Nunu,Murder Talk (Spin It),1a4XB78OIYoH7FIysQUC2L,9,2021,indian,0.798,0.699,9,-8.766,1,0.347,0.314,0.0,0.109,0.248,90.031,162000,4
360103,Face To Face,Aok,6ukQquirBmChJnpeazOs0t,19,2018,ska,0.618,0.457,0,-8.159,1,0.0254,0.0787,0.0,0.0731,0.628,87.05,217472,4
1373521,SISTAR,Push Push,5Dd1hmycQSWFAeqZs1L4gF,27,2010,k-pop,0.793,0.935,1,-3.359,0,0.0375,0.0221,1.94e-06,0.042,0.968,126.961,187324,4
570313,Mohammed Rafi,Kya Hua Tera Vada - Lofi,593uaaYhoXd06BU1RrBSkt,9,2022,pop-film,0.483,0.386,5,-12.31,1,0.0331,0.602,1.04e-05,0.393,0.148,97.841,184911,4
1200905,Aaron Watson,Rollercoaster Ride,2HI7hqgEw4cuI7u9ne8rUj,17,2008,country,0.6,0.655,4,-8.454,1,0.0273,0.357,0.0,0.107,0.825,155.861,217400,4
362731,Porta,Vínculos,36SvgXid2fUFlvOKufrb2H,23,2018,spanish,0.545,0.793,8,-8.717,1,0.418,0.316,0.0,0.108,0.227,88.685,170156,1
534049,Vatican,Where Heavens Collide,1f2smz2n91Wel1L1e6jiYG,17,2022,black-metal,0.469,0.761,11,-3.977,0,0.0403,0.000255,0.554,0.121,0.151,132.02,213739,4
1428998,Reatards,Not Good Enough for You,07ma8T7wERLnyp1jx6W8d3,7,2011,garage,0.306,0.969,1,-2.914,0,0.0704,0.0401,0.865,0.261,0.522,91.549,100733,4
